FID,id,vejkode,vejnavn,park_id,bydel,distrikt,kurv_type,kurv_farve,kurv_laag,kurv_tilstand,kurv_driftsopgave,kurv_placering,tomn_rute_basis,tomn_rute_weekend,tomn_rute_middag,tomn_rute_efterm,tomningsfrekvens,kurv_foto,reg_metode,bemaerkning,reg_dato,rettet_dato,wkb_geometry
affaldskurv.2231,7776,6600,Slotsherrensvej,,Vanløse,5,Richard Müller T5,Blå,Med låg,Afbrændt,Ikke registreret,Vej/Fortov,Brønshøj-Husum -Vanløse,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-22T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.469556881598775 55.699483040750984))
affaldskurv.2232,7144,6600,Slotsherrensvej,,Brønshøj-Husum,5,Richard Müller T5,Grøn,Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Brønshøj-Husum -Vanløse,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-18T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.469440621809088 55.69974211435729))
affaldskurv.2233,7143,6600,Slotsherrensvej,,Brønshøj-Husum,5,Richard Müller T5,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Brønshøj-Husum -Vanløse,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-18T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.478691996312198 55.697935342558736))
affaldskurv.2234,7027,6600,Slotsherrensvej,,Vanløse,5,Richard Müller T5,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Brønshøj-Husum -Vanløse,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-22T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.493839855564659 55.69422288536436))
affaldskurv.2235,5636,6604,Slotsholmsgade,,Indre By,1,Richard Müller T5,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Team Tivoli,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,rute 3,2001-07-20T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.582684741818282 55.6757250347878))
affaldskurv.2236,5635,6604,Slotsholmsgade,,Indre By,1,Københavnerkurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Team Tivoli,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,rute 3,2009-02-01T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.585797327057767 55.6746679996481))
affaldskurv.2237,10860,6608,Sluseholmen,0,Vesterbro-Kongens Enghave,,Københavnerkurv,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2014-03-31T09:03:16,2014-09-09T09:53:27,MULTIPOINT ((12.548968662594962 55.64653775523021))
affaldskurv.2238,10859,6608,Sluseholmen,0,Vesterbro-Kongens Enghave,,Københavnerkurv,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2014-03-31T09:03:16,2014-09-09T09:53:27,MULTIPOINT ((12.549248331304222 55.64646248240715))
affaldskurv.2239,8412,6668,Snorresgade,0,Amager Vest,,Richard Müller T5,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.576597065827947 55.66488147850582))
affaldskurv.2240,7941,6668,Snorresgade,,Amager Vest,3,Københavnerkurv,Blå,Uden låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-07-06T00:00:00,2016-09-28T13:36:51.132,MULTIPOINT ((12.576029869857619 55.66601925428057))
affaldskurv.2241,4855,6676,Sofiegade,,Indre By,1,Richard Müller T5,Grøn,Uden låg,Slidt/grim,Ikke registreret,Vej/Fortov,Team Christianshavn,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,rute 3,2001-07-16T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.59057001516339 55.67107327242424))
affaldskurv.2242,7090,6724,Sommerstedgade,,Vesterbro-Kongens Enghave,2,Oval T3,Grå (metal),Uden låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Vesterbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-25T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.555422748222805 55.667179477660035))
