FID,id,vejkode,vejnavn,park_id,bydel,distrikt,kurv_type,kurv_farve,kurv_laag,kurv_tilstand,kurv_driftsopgave,kurv_placering,tomn_rute_basis,tomn_rute_weekend,tomn_rute_middag,tomn_rute_efterm,tomningsfrekvens,kurv_foto,reg_metode,bemaerkning,reg_dato,rettet_dato,wkb_geometry
affaldskurv.391,6651,0728,Borgmester Christiansens Gade,,Vesterbro-Kongens Enghave,2,Københavnerkurv,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Kongens Enghave Team 4,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-14T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.528400468858427 55.649903441330224))
affaldskurv.392,6436,0728,Borgmester Christiansens Gade,,Vesterbro-Kongens Enghave,2,Richard Müller T5,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Kongens Enghave Team 4,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-20T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.533936487257565 55.64907185912811))
affaldskurv.393,6430,0728,Borgmester Christiansens Gade,,Vesterbro-Kongens Enghave,2,Richard Müller T5,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Kongens Enghave Team 4,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-17T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.534724647064989 55.648827879968536))
affaldskurv.394,6429,0728,Borgmester Christiansens Gade,,Vesterbro-Kongens Enghave,2,Oval T3,Grøn,Ikke registreret,Slidt/grim,Ikke registreret,Vej/Fortov,Kongens Enghave Team 4,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-17T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.536745729388654 55.64840450162144))
affaldskurv.395,6426,0728,Borgmester Christiansens Gade,,Vesterbro-Kongens Enghave,2,Københavnerkurv,Blå,Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Kongens Enghave Team 4,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-17T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.541337790965192 55.646778589764615))
affaldskurv.396,8764,0732,Borgmester Jensens Allé,0,Østerbro,,Københavnerkurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Østerbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Digitaliseret manuelt,,,2014-09-09T09:53:27,MULTIPOINT ((12.57326428315292 55.70723085978215))
affaldskurv.397,6341,0732,Borgmester Jensens Allé,,Østerbro,4,Richard Müller T5,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Park,Østerbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-07-17T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.571924385466874 55.70606018937278))
affaldskurv.398,6340,0732,Borgmester Jensens Allé,,Østerbro,4,Richard Müller T5,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Park,Østerbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-07-17T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.571583716441856 55.70634990545322))
affaldskurv.399,5732,0732,Borgmester Jensens Allé,,Østerbro,4,Richard Müller T5,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Park,Østerbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-07-17T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.571795485656637 55.70647343916248))
affaldskurv.400,5401,0732,Borgmester Jensens Allé,,Østerbro,4,Richard Müller T5,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Park,Østerbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-07-17T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.57205141764729 55.70615406445311))
affaldskurv.401,5400,0732,Borgmester Jensens Allé,,Østerbro,4,Richard Müller T5,Grøn,Med låg,Slidt/grim,Ikke registreret,Park,Østerbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-07-17T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.571735381325968 55.70641493899256))
affaldskurv.402,5399,0732,Borgmester Jensens Allé,,Østerbro,4,Richard Müller T5,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Park,Østerbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-07-17T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.572131972524803 55.70617436492244))
affaldskurv.403,7647,0736,Borgmestervangen,0,Nørrebro,4,Københavnerkurv,Blå,Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Nørrebro Team 1,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2005-09-01T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.539210254124178 55.70069142057478))
affaldskurv.404,8104,0760,Borups Allé,0,Vanløse,5,Richard Müller T5,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Brønshøj-Husum -Vanløse,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,,2014-09-09T09:53:27,MULTIPOINT ((12.515718096499937 55.70635187791287))
affaldskurv.405,7979,0760,Borups Allé,0,Vanløse,5,Richard Müller T5,Grøn,Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Brønshøj-Husum -Vanløse,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2006-02-21T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.524366434991725 55.69746111464429))
affaldskurv.406,7976,0760,Borups Allé,0,Vanløse,5,Richard Müller T5,Grøn,Med låg,Står løs,Ikke registreret,Vej/Fortov,Brønshøj-Husum -Vanløse,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,"voltet, vejdirektoratet",2006-02-21T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.518615152241935 55.702243874564495))
affaldskurv.407,7274,0760,Borups Allé,,Vanløse,5,Richard Müller T5,Grøn,Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Brønshøj-Husum -Vanløse,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Digitaliseret manuelt,vejdirektoratet,2006-02-21T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.51948550777314 55.70157577667663))
affaldskurv.408,7194,0760,Borups Allé,,Bispebjerg,5,Københavnerkurv,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Brønshøj-Husum -Vanløse,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,vejdirektoratet,2001-08-11T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.51669346805765 55.706339723554876))
affaldskurv.409,7192,0760,Borups Allé,,Bispebjerg,5,Andet,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Brønshøj-Husum -Vanløse,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,vejdirektoratet,2001-08-11T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.51932132997969 55.702741437830916))
affaldskurv.410,6936,0760,Borups Allé,,Vanløse,5,Københavnerkurv,Blå,Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Brønshøj-Husum -Vanløse,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,vejdirektoratet,2001-08-21T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.51983578508674 55.70131282106389))
affaldskurv.411,6935,0760,Borups Allé,,Vanløse,5,Københavnerkurv,Blå,Med låg,Afbrændt,Ikke registreret,Vej/Fortov,Brønshøj-Husum -Vanløse,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-21T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.516166299306047 55.7055812990892))
affaldskurv.412,6934,0760,Borups Allé,,Vanløse,5,Oval T3,Andet,Ikke registreret,Slidt/grim,Ikke registreret,Vej/Fortov,Brønshøj-Husum -Vanløse,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,vejdirektoratet,2001-08-21T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.51643950020271 55.70585275575253))
affaldskurv.413,6933,0760,Borups Allé,,Vanløse,5,Andet,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Brønshøj-Husum -Vanløse,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,vejdirektoratet,2001-08-21T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.516407350288858 55.7059775067564))
affaldskurv.414,6588,0760,Borups Allé,,Nørrebro,4,Richard Müller T5,Blå,Med låg,Slidt/grim,Ikke registreret,Vej/Fortov,Nørrebro Team 1,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-02T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.542119461185194 55.689346449696565))
affaldskurv.415,6479,0760,Borups Allé,,Nørrebro,4,Richard Müller T5,Blå,Med låg,Afbrændt,Ikke registreret,Vej/Fortov,Nørrebro Team 1,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-02T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.53810519096584 55.691484955909544))
affaldskurv.416,10551,0760,Borups Allé,0,Nørrebro,,Københavnerkurv,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2013-10-24T13:23:17,2014-09-09T09:53:27,MULTIPOINT ((12.541645478800158 55.6893342993147))
affaldskurv.417,8577,0764,Borups Plads,0,Nørrebro,,Københavnerkurv,Grå (metal),Med låg,Afbrændt,Ikke registreret,Vej/Fortov,Nørrebro Team 1,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Digitaliseret manuelt,,,2014-09-09T09:53:27,MULTIPOINT ((12.539290157658327 55.69126878624637))
affaldskurv.418,6792,0764,Borups Plads,,Nørrebro,4,Københavnerkurv,Blå,Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Nørrebro Team 1,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-02T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.539175729736646 55.691445548919404))
affaldskurv.419,6480,0764,Borups Plads,,Nørrebro,4,Richard Müller T5,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Nørrebro Team 1,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-02T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.538352051611513 55.6916651655146))
affaldskurv.420,8715,0780,Bragesgade,0,Nørrebro,,Richard Müller T5,Grå (metal),Med låg,Slidt/grim,Ikke registreret,Vej/Fortov,Nørrebro Team 1,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Digitaliseret manuelt,,,2014-09-09T09:53:27,MULTIPOINT ((12.543575781233871 55.69948803617999))
affaldskurv.421,7607,0780,Bragesgade,0,Nørrebro,4,Københavnerkurv,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Nørrebro Team 1,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Digitaliseret manuelt,,2005-09-01T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.542571114071974 55.698624477934715))
affaldskurv.422,6696,0780,Bragesgade,,Nørrebro,4,Richard Müller T5,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Nørrebro Team 1,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-01T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.543572616020073 55.69944837410757))
affaldskurv.423,9313,0816,Bredgade,0,Indre By,,Richard Müller T5,Grøn,Uden låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Team Frederiksstaden,Ikke defineret,Ikke defineret,Tømmerute 1,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.589224920621593 55.6829586686996))
affaldskurv.424,9312,0816,Bredgade,0,Indre By,,Richard Müller T5,Grøn,Uden låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Team Frederiksstaden,Ikke defineret,Ikke defineret,Tømmerute 1,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.590031523273776 55.684194552741324))
affaldskurv.425,5316,0816,Bredgade,,Indre By,1,Københavnerkurv,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Team Frederiksstaden,Ikke defineret,Ikke defineret,Tømmerute 1,Ikke defineret,,Indmålt med GPS,rute 2,2001-08-11T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.589655996271595 55.68348032106149))
affaldskurv.426,5477,0816,Bredgade,,Indre By,1,Richard Müller T5,Grå (metal),Med låg,Slidt/grim,Ikke registreret,Vej/Fortov,Team Frederiksstaden,Ikke defineret,Ikke defineret,Tømmerute 1,Ikke defineret,,Indmålt med GPS,rute 2,2001-07-05T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.588635896847013 55.6824645371975))
affaldskurv.427,5451,0816,Bredgade,,Indre By,1,Richard Müller T5,Grøn,Med låg,Slidt/grim,Ikke registreret,Vej/Fortov,Team Frederiksstaden,Ikke defineret,Ikke defineret,Tømmerute 1,Ikke defineret,,Indmålt med GPS,rute 2,2001-08-06T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.591683255071834 55.685929500829914))
affaldskurv.428,8323,0828,Bremensgade,,Amager Øst,3,Københavnerkurv,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2009-02-01T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.615917847728346 55.666552831113414))
affaldskurv.429,8322,0828,Bremensgade,,Amager Øst,3,Københavnerkurv,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2009-02-01T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.615686435049593 55.666782402842536))
affaldskurv.430,8130,0828,Bremensgade,,Amager Øst,3,Københavnerkurv,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2009-02-01T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.615725468513482 55.666822703626615))
affaldskurv.431,8129,0828,Bremensgade,,Amager Øst,3,Københavnerkurv,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2009-02-01T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.615573123278496 55.666806251808715))
affaldskurv.432,7924,0828,Bremensgade,,Amager Øst,3,Københavnerkurv,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2004-08-24T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.615998289214051 55.666580728834184))
affaldskurv.433,6844,0832,Bremerholm,0,Indre By,,Københavnerkurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Team Frederiksstaden,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,rute 2,2009-08-17T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.583530191129247 55.67825197132433))
affaldskurv.434,6042,0832,Bremerholm,,Indre By,1,Københavnerkurv,Grøn,Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Team Frederiksstaden,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,rute 2,2001-07-11T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.582800268022623 55.67891284215158))
affaldskurv.435,11586,0844,Brigadevej,0,Amager Vest,,Københavnerkurv,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Digitaliseret manuelt,,2016-11-09T12:02:05.918,,MULTIPOINT ((12.599930374536655 55.66237800538763))
affaldskurv.436,10044,0844,Brigadevej,0,Amager Vest,3,Københavnerkurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,Ukendt type - sort,2012-11-14T15:10:37,2014-09-09T09:53:27,MULTIPOINT ((12.598606995610714 55.66213395380285))
affaldskurv.437,7771,0920,Brysselgade,0,Amager Øst,,Richard Müller T5,Ikke registreret,Ikke registreret,Slidt/grim,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2009-04-21T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.60515001448252 55.66259322571935))
affaldskurv.438,7786,0940,Brønshøj Kirkevej,,Brønshøj-Husum,5,Richard Müller T5,Grå (metal),Med låg,Slidt/grim,Ikke registreret,Vej/Fortov,Brønshøj-Husum -Vanløse,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-21T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.498301004474884 55.70472189041852))
affaldskurv.439,8153,0942,Brønshøj Torv,,Brønshøj-Husum,5,Københavnerkurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Brønshøj-Husum -Vanløse,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2009-02-01T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.498680765029906 55.704343924280316))
affaldskurv.440,8036,0942,Brønshøj Torv,,Brønshøj-Husum,5,Richard Müller T5,Grå (metal),Med låg,Slidt/grim,Ikke registreret,Vej/Fortov,Brønshøj-Husum -Vanløse,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2009-02-01T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.49831848485945 55.704401794125374))
affaldskurv.441,8035,0942,Brønshøj Torv,,Brønshøj-Husum,5,Københavnerkurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Brønshøj-Husum -Vanløse,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2009-02-01T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.498028908851062 55.70411664039805))
affaldskurv.442,8034,0942,Brønshøj Torv,,Brønshøj-Husum,5,Københavnerkurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Brønshøj-Husum -Vanløse,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2009-02-01T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.49828578132675 55.70411540976331))
affaldskurv.443,8033,0942,Brønshøj Torv,,Brønshøj-Husum,5,Københavnerkurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Brønshøj-Husum -Vanløse,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2009-02-01T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.498492291162465 55.704028001351325))
affaldskurv.444,8156,0944,Brønshøjvej,,Brønshøj-Husum,5,Københavnerkurv,Grå (metal),Med låg,Afbrændt,Ikke registreret,Vej/Fortov,Brønshøj-Husum -Vanløse,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2009-02-01T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.497798930245231 55.70450752532032))
affaldskurv.445,7792,0944,Brønshøjvej,,Brønshøj-Husum,5,Københavnerkurv,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Brønshøj-Husum -Vanløse,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-21T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.4976344907473 55.70197449780131))
affaldskurv.446,8031,0944,Brønshøjvej,,Brønshøj-Husum,5,Københavnerkurv,Blå,Med låg,Afbrændt,Ikke registreret,Vej/Fortov,Brønshøj-Husum -Vanløse,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2009-02-01T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.497663750529604 55.70415863205427))
affaldskurv.447,7006,0944,Brønshøjvej,,Brønshøj-Husum,5,Københavnerkurv,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Brønshøj-Husum -Vanløse,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2003-10-14T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.497858072303067 55.702113069413016))
affaldskurv.448,7815,0960,Burmeistersgade,0,Indre By,1,Richard Müller T5,Grøn,Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Team Christianshavn,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,rute 3,2005-10-28T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.598553732569814 55.675558135374))
affaldskurv.449,5045,0960,Burmeistersgade,,Indre By,1,Richard Müller T5,Grøn,Med låg,Afbrændt,Ikke registreret,Vej/Fortov,Team Christianshavn,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,rute 3,2009-02-01T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.598192279492578 55.675267178654))
affaldskurv.450,6927,1008,Bystævnet,,Brønshøj-Husum,5,Richard Müller T5,Blå,Uden låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Brønshøj-Husum -Vanløse,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-19T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.476759693107473 55.715024819349665))
affaldskurv.451,8522,1044,Børsgade,0,Indre By,,Richard Müller T5,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Team Christianshavn,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Digitaliseret manuelt,,,2014-09-09T09:53:27,MULTIPOINT ((12.58579644660371 55.675222172114935))
affaldskurv.452,8521,1044,Børsgade,0,Indre By,,Richard Müller T5,Grøn,Uden låg,Slidt/grim,Ikke registreret,Vej/Fortov,Team Christianshavn,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.586413415665888 55.67505355309619))
affaldskurv.453,5649,1044,Børsgade,,Indre By,1,Richard Müller T5,Grøn,Uden låg,Afbrændt,Ikke registreret,Vej/Fortov,Team Christianshavn,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,rute 3,2001-07-19T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.586769708539675 55.67524034815512))
affaldskurv.454,5632,1044,Børsgade,,Indre By,1,Richard Müller T5,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Team Christianshavn,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,rute 3,2001-07-19T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.585648777113454 55.6752543453742))
affaldskurv.455,4988,1044,Børsgade,,Indre By,1,Københavnerkurv,Blå,Med låg,Afbrændt,Ikke registreret,Vej/Fortov,Team Tivoli,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,rute 3,2001-07-19T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.582837734053598 55.67593783453369))
affaldskurv.456,10879,1052,Bådehavnsgade,0,Vesterbro-Kongens Enghave,,Københavnerkurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2014-04-29T11:06:22,2014-09-09T09:53:27,MULTIPOINT ((12.548979451768803 55.64032435935048))
affaldskurv.457,10878,1052,Bådehavnsgade,0,Vesterbro-Kongens Enghave,,Københavnerkurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2014-04-29T11:06:22,2014-09-09T09:53:27,MULTIPOINT ((12.547064675422924 55.64165580345411))
affaldskurv.458,10877,1052,Bådehavnsgade,0,Vesterbro-Kongens Enghave,,Københavnerkurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2014-04-29T11:06:22,2014-09-09T09:53:27,MULTIPOINT ((12.54467081687398 55.64268071236378))
affaldskurv.459,10876,1052,Bådehavnsgade,0,Vesterbro-Kongens Enghave,,Københavnerkurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2014-04-29T11:06:22,2014-09-09T09:53:27,MULTIPOINT ((12.539587972783515 55.64306109373429))
affaldskurv.460,10875,1052,Bådehavnsgade,0,Vesterbro-Kongens Enghave,,Københavnerkurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2014-04-29T11:06:22,2014-09-09T09:53:27,MULTIPOINT ((12.539956745080925 55.64310474118299))
affaldskurv.461,4807,1056,Bådsmandsstræde,,Indre By,1,Richard Müller T5,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Team Christianshavn,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,rute 3,2009-02-01T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.595065253472288 55.67385113836876))
affaldskurv.462,8816,1544,Emdrupvej,0,Bispebjerg,,Richard Müller T5,Blå,Uden låg,Slidt/grim,Ikke registreret,Vej/Fortov,Østerbro/Bispebjerg Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.539602889696994 55.72279934800809))
affaldskurv.463,7673,1544,Emdrupvej,,Bispebjerg,5,Oval T3,Grå (metal),Ikke registreret,Slidt/grim,Ikke registreret,Vej/Fortov,Østerbro/Bispebjerg Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-10T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.534733771902172 55.72296081878405))
